student_id,attendance,quiz_avg,assignment_avg,midterm_score,project_score,study_hours_per_week,participation_score,final_score,degree_category
127,92.72,44.78,78.64,78.74,83.98,24.1,65.68,66.0,Good
128,94.43,62.46,53.8,40.27,97.3,13.7,51.0,67.45,Good
129,60.28,60.5,91.74,96.85,64.79,17.0,40.59,77.06,Very Good
130,80.43,54.29,67.66,89.5,50.06,34.8,49.93,63.72,Acceptable
131,76.7,79.79,53.6,87.33,63.6,24.6,56.32,68.97,Good
132,68.88,67.27,45.67,88.49,60.89,23.0,82.94,72.14,Good
133,64.79,44.46,74.67,95.63,83.09,8.5,67.78,77.4,Very Good
134,73.5,52.11,72.95,70.38,81.69,5.6,35.42,68.97,Good
135,97.72,77.58,83.13,48.02,79.67,38.7,31.26,71.85,Good
136,72.93,44.19,92.18,75.09,50.81,18.2,37.16,65.67,Good
137,80.75,86.82,49.21,83.29,86.44,26.1,58.73,74.86,Good
138,88.12,67.23,83.77,82.96,66.18,7.8,95.32,78.75,Very Good
139,74.55,66.43,54.93,68.89,83.25,28.9,74.62,67.0,Good
140,98.87,72.58,90.48,39.45,77.83,37.6,86.13,70.89,Good
141,98.5,85.36,88.41,59.12,67.14,25.1,62.65,77.85,Very Good
142,70.07,59.13,73.66,94.85,56.73,9.4,55.32,69.48,Good
143,79.89,77.29,82.64,72.99,54.72,25.4,37.59,74.49,Good
144,72.04,71.12,61.66,69.99,91.58,31.8,91.32,72.54,Good
145,71.39,54.69,69.97,52.48,95.92,19.2,84.82,68.12,Good
146,61.48,88.32,88.55,58.95,82.49,35.8,41.77,72.14,Good
147,84.38,83.86,69.34,93.2,55.17,27.7,65.86,76.0,Very Good
148,80.11,76.21,63.96,78.32,70.1,36.5,64.12,69.17,Good
149,62.06,86.78,71.19,86.18,86.45,26.8,73.76,77.87,Very Good
150,71.15,87.7,88.9,64.53,88.99,9.6,96.23,73.68,Good
151,96.33,78.96,62.77,75.97,55.91,15.8,70.58,71.79,Good
152,69.58,86.04,54.21,51.14,50.0,12.1,67.82,60.54,Acceptable
153,65.8,78.36,82.74,80.85,85.61,36.8,33.52,73.3,Good
154,79.58,77.41,88.78,62.79,67.83,31.6,34.4,76.26,Very Good
155,99.43,74.02,50.33,63.77,62.72,28.7,43.11,72.83,Good
156,69.68,81.4,57.71,77.21,50.64,15.5,32.27,63.84,Acceptable
157,86.89,48.72,52.52,95.86,77.01,11.4,82.03,69.48,Good
158,90.46,88.45,63.44,39.16,92.56,31.5,80.63,79.74,Very Good
159,69.51,87.95,68.87,88.61,97.88,21.6,39.52,76.36,Very Good
160,89.13,41.61,84.69,54.0,78.29,12.9,88.53,67.35,Good
161,74.71,85.42,79.51,63.85,75.72,26.6,40.84,73.2,Good
162,85.29,47.09,77.91,36.42,54.25,6.4,51.08,58.52,Acceptable
163,85.34,58.43,63.68,54.57,77.44,16.4,47.43,64.67,Acceptable
164,81.43,80.89,89.6,67.67,69.0,21.4,56.06,72.9,Good
165,63.61,48.84,69.98,38.65,80.36,10.2,47.83,54.23,Acceptable
166,93.41,84.99,96.89,66.92,69.44,39.5,64.23,79.2,Very Good
167,72.83,85.77,78.61,95.26,62.01,12.3,58.52,73.53,Good
168,67.46,67.91,51.69,41.85,54.75,9.6,99.06,54.98,Acceptable
169,61.63,40.35,80.84,84.69,65.75,12.1,33.91,64.22,Acceptable
170,83.64,55.79,62.23,61.63,54.83,31.9,39.95,57.06,Acceptable
171,87.1,73.93,81.38,77.59,58.84,19.9,33.7,75.18,Very Good
172,60.66,93.97,48.69,51.92,99.37,24.8,73.81,68.05,Good
173,80.48,74.75,54.27,45.37,72.21,5.7,33.82,54.5,Acceptable
174,69.06,54.29,90.35,45.43,76.59,6.2,88.55,64.49,Acceptable
175,85.81,74.87,57.04,39.58,93.68,20.6,65.84,65.92,Good
176,66.97,69.7,89.36,47.07,99.78,33.6,66.89,69.05,Good
177,87.64,82.89,59.8,78.17,79.14,36.0,69.31,77.49,Very Good
178,75.47,45.88,79.07,92.31,90.62,8.0,41.96,71.41,Good
179,97.47,81.86,81.79,87.92,66.35,23.8,43.84,83.94,Very Good
180,65.5,69.77,72.17,79.53,65.29,37.0,52.32,73.2,Good
181,73.64,92.96,61.18,42.18,70.14,18.6,71.54,62.82,Acceptable
182,64.54,58.8,56.27,53.8,83.63,34.0,44.71,60.96,Acceptable
183,96.99,74.79,46.76,55.14,84.11,9.7,38.14,63.68,Acceptable
184,95.09,91.26,61.11,51.25,65.76,37.7,97.91,72.84,Good
185,70.32,45.64,79.62,68.48,56.66,31.3,31.54,63.66,Acceptable
186,86.4,91.55,94.73,69.81,81.62,37.9,86.19,83.5,Very Good
187,92.69,77.83,91.17,58.2,56.42,28.7,85.16,73.03,Good
188,82.21,43.73,85.6,58.0,78.92,17.7,50.8,65.13,Good
189,81.19,56.55,86.79,88.86,84.67,37.8,39.49,78.78,Very Good
190,69.67,78.95,80.24,86.3,85.03,14.6,40.19,71.02,Good
191,63.72,43.7,58.8,55.01,87.67,16.6,78.82,64.91,Acceptable
192,95.89,72.02,93.08,94.4,93.64,29.5,75.0,89.67,Excellent
193,96.02,59.02,80.55,96.93,75.0,31.8,84.79,79.69,Very Good
194,85.32,74.15,74.7,56.24,86.51,37.5,95.62,81.13,Very Good
195,73.56,42.52,50.88,58.04,80.96,12.2,78.43,60.31,Acceptable
196,73.97,87.93,68.69,67.87,59.33,32.9,40.91,66.21,Good
197,89.04,93.54,69.4,96.17,51.28,30.8,47.04,79.89,Very Good
198,95.88,93.29,90.82,91.96,64.23,7.2,88.95,84.13,Very Good
199,95.48,81.23,73.97,41.67,72.15,18.6,44.65,67.11,Good
200,91.2,47.15,65.16,60.53,80.86,14.9,35.08,62.87,Acceptable
201,85.68,81.7,96.77,70.97,92.5,15.7,79.23,83.69,Very Good
202,63.37,41.35,50.87,67.7,59.81,39.4,58.18,58.65,Acceptable
203,66.47,41.22,67.4,47.6,56.28,27.5,94.4,59.29,Acceptable
204,95.94,57.8,47.23,90.82,98.17,30.1,75.52,71.88,Good
205,84.26,66.88,84.21,79.0,55.4,39.2,36.33,71.54,Good
206,60.37,82.37,93.66,89.46,73.92,18.2,96.35,86.53,Excellent
207,64.06,77.58,59.84,90.82,79.28,33.1,48.1,72.81,Good
208,86.54,64.52,90.49,83.64,77.07,20.2,53.6,76.15,Very Good
209,60.2,55.05,60.49,63.55,54.3,35.4,58.16,59.12,Acceptable
210,66.43,94.84,93.27,74.69,52.85,11.3,33.59,68.22,Good
211,81.95,63.44,84.96,45.42,55.27,38.2,64.76,58.5,Acceptable
212,87.68,64.83,87.66,78.79,79.28,12.7,38.63,74.4,Good
213,86.08,49.0,45.95,46.65,77.22,16.4,58.07,57.62,Acceptable
214,68.97,83.71,96.03,80.11,61.69,31.5,54.55,77.53,Very Good
215,88.49,78.15,83.51,49.92,81.89,18.8,84.1,72.25,Good
216,69.49,52.14,61.15,42.64,91.0,26.3,86.22,63.59,Acceptable
217,73.02,44.53,88.96,45.74,52.08,20.6,40.74,61.3,Acceptable
218,89.86,77.43,59.92,35.13,74.91,31.0,55.66,62.43,Acceptable
219,85.99,76.0,91.26,81.72,84.47,13.0,56.13,78.28,Very Good
220,93.97,55.03,50.97,82.61,62.62,7.0,40.6,63.09,Acceptable
221,86.3,92.3,82.3,68.47,65.39,15.5,85.89,77.1,Very Good
222,82.73,48.31,73.66,45.49,80.68,21.6,79.51,68.67,Good
223,63.75,63.78,50.12,40.43,94.9,10.9,43.33,56.69,Acceptable
224,74.71,91.9,57.82,36.24,90.5,17.4,55.67,65.24,Good
225,70.61,63.09,45.66,45.77,79.16,19.0,37.41,58.19,Acceptable
226,69.76,75.12,69.84,92.91,86.51,7.0,73.97,74.34,Good
227,98.92,61.87,60.97,50.7,68.24,25.4,38.5,62.85,Acceptable
228,75.72,55.08,76.71,58.03,82.05,36.0,99.02,67.14,Good
229,95.68,94.12,60.75,41.85,73.31,10.3,84.65,61.17,Acceptable
230,85.25,62.51,60.9,49.45,59.5,25.9,57.32,61.55,Acceptable
231,91.79,89.18,84.39,68.75,85.09,28.3,70.5,79.54,Very Good
232,80.11,52.65,47.55,74.5,77.82,19.7,93.79,67.36,Good
233,83.08,51.72,92.85,50.95,67.93,29.5,68.79,68.04,Good
234,79.7,41.71,90.17,38.75,95.57,19.4,42.21,62.67,Acceptable
235,67.81,75.84,80.39,60.42,51.05,22.7,56.51,65.07,Good
236,88.9,60.27,76.44,50.22,65.79,5.3,89.02,60.34,Acceptable
237,71.23,87.54,92.29,49.27,52.84,29.2,75.09,73.18,Good
238,60.97,66.03,54.82,97.39,88.33,28.1,75.55,72.21,Good
239,85.82,93.25,49.19,75.06,85.11,6.3,90.68,72.93,Good
240,67.08,50.2,57.69,71.2,66.57,17.9,92.58,60.63,Acceptable
241,97.62,87.77,87.11,62.03,83.78,39.3,94.39,83.95,Very Good
242,98.16,82.71,46.84,62.88,69.8,19.7,36.64,64.57,Acceptable
243,96.59,82.4,75.89,70.16,87.81,22.6,68.09,76.97,Very Good
244,74.81,86.46,97.76,80.27,72.71,36.8,81.84,85.87,Excellent
245,60.62,81.86,90.35,80.64,70.61,30.1,82.98,78.69,Very Good
246,97.13,74.44,72.64,46.16,96.74,25.4,72.47,74.64,Good
247,77.13,47.22,48.37,67.51,62.54,32.9,41.68,57.11,Acceptable
248,98.67,41.79,89.06,61.78,56.02,35.3,85.82,65.08,Good
249,98.54,90.65,76.75,91.58,79.23,21.0,80.41,84.51,Very Good
250,94.12,73.92,51.09,76.04,98.47,21.6,36.03,72.97,Good
251,71.78,83.81,49.97,69.61,68.89,18.5,62.47,68.24,Good
252,75.4,66.48,93.21,42.5,53.1,38.8,42.18,64.12,Acceptable
253,94.05,46.45,80.47,74.37,66.97,29.4,53.62,71.42,Good
254,72.68,46.89,88.95,42.62,75.3,7.9,31.27,55.49,Acceptable
255,66.78,77.71,91.59,56.92,58.1,35.2,58.02,75.47,Very Good
256,82.27,63.67,75.3,44.28,82.91,21.8,68.49,66.15,Good
257,97.45,51.03,72.42,79.98,99.89,7.4,73.37,78.54,Very Good
258,87.84,67.04,67.81,48.41,72.59,24.2,76.44,63.37,Acceptable
259,82.8,43.53,61.8,60.47,67.74,19.6,88.54,63.64,Acceptable
260,63.89,72.01,68.03,93.22,70.04,35.7,45.08,70.92,Good
261,84.6,54.79,86.02,48.28,55.76,12.1,38.43,61.9,Acceptable
262,99.6,83.87,76.9,68.01,94.16,33.9,89.61,81.41,Very Good
263,65.6,57.07,92.3,62.25,70.74,24.5,40.96,68.49,Good
264,80.73,65.04,68.5,36.18,69.36,6.9,98.23,62.32,Acceptable
265,95.09,40.64,77.18,86.53,82.98,39.0,88.98,74.9,Good
266,89.63,43.98,78.46,39.49,72.1,22.9,65.06,59.61,Acceptable
267,87.88,61.59,76.36,65.83,82.41,15.2,98.7,74.44,Good
268,88.1,66.4,82.24,71.44,53.07,21.4,36.82,74.51,Good
269,74.38,73.0,57.58,75.85,90.69,35.0,51.21,73.53,Good
270,71.74,56.04,72.16,79.76,97.03,15.7,74.68,76.82,Very Good
271,92.37,78.22,50.52,51.46,82.44,11.7,54.5,64.3,Acceptable
272,92.4,87.31,65.38,35.65,97.73,9.5,94.99,75.64,Very Good
273,94.68,82.89,70.85,82.02,57.57,15.4,34.59,66.51,Good
274,96.53,42.18,79.57,69.82,73.87,32.3,68.46,71.87,Good
275,80.45,66.43,95.38,89.35,80.09,21.5,71.36,76.82,Very Good
276,80.06,45.77,76.83,88.39,79.09,13.0,75.69,66.04,Good
277,91.93,53.31,84.41,89.82,70.07,10.8,47.9,75.18,Very Good
278,86.0,94.27,71.83,66.53,66.9,16.6,55.52,72.4,Good
279,88.08,47.84,78.61,56.69,56.34,37.9,89.06,65.48,Good
280,91.83,67.44,48.76,86.45,69.59,17.0,43.65,68.57,Good
281,95.6,74.0,58.48,64.33,58.13,39.6,87.88,78.7,Very Good
282,73.52,78.64,64.18,46.92,86.72,22.0,69.39,66.5,Good
283,75.02,70.78,70.04,90.57,60.44,11.3,83.35,73.97,Good
284,63.76,40.54,47.42,92.37,52.93,36.2,79.95,62.19,Acceptable
285,83.13,57.96,52.42,65.31,77.62,21.1,44.53,65.09,Good
286,61.44,68.47,59.67,39.92,79.76,29.8,69.82,60.79,Acceptable
287,78.62,44.83,96.49,60.21,93.6,39.4,90.74,75.89,Very Good
288,81.71,59.28,62.56,87.23,78.85,6.8,60.25,76.47,Very Good
289,71.46,41.83,70.55,93.62,67.27,8.4,97.66,73.85,Good
290,83.63,44.32,55.39,48.23,90.15,30.2,61.66,63.45,Acceptable
291,61.22,61.83,77.37,39.35,77.01,14.9,39.99,53.06,Acceptable
292,61.49,47.3,59.88,92.03,53.96,11.5,57.26,62.23,Acceptable
293,92.9,71.21,55.97,60.31,78.29,6.4,96.62,75.64,Very Good
294,74.41,77.92,72.38,70.21,95.4,5.8,52.38,72.89,Good
295,65.08,84.03,45.29,97.92,69.82,32.1,90.77,78.48,Very Good
296,80.89,51.01,45.41,39.33,64.82,9.7,91.69,57.74,Acceptable
297,90.8,49.21,56.61,77.14,57.17,21.4,54.51,64.56,Acceptable
298,68.63,45.75,46.95,39.82,57.57,26.2,35.83,47.13,Bad
299,84.92,75.0,50.73,59.41,71.64,20.0,80.72,58.3,Acceptable
300,63.41,78.86,62.96,87.25,79.78,5.9,51.81,73.92,Good
301,62.07,41.74,87.54,63.18,54.03,32.4,84.8,62.42,Acceptable
302,81.25,91.49,75.32,99.82,96.98,5.4,60.99,85.51,Excellent
303,81.63,42.86,72.17,71.34,87.76,31.7,63.97,67.82,Good
304,85.5,69.77,60.55,55.88,79.33,36.3,84.45,68.92,Good
305,89.04,79.0,94.38,49.31,91.42,20.1,56.77,75.7,Very Good
306,99.03,87.9,66.04,57.78,54.01,23.7,61.02,68.37,Good
307,80.65,79.27,49.62,59.21,73.84,21.7,56.33,61.64,Acceptable
308,72.92,84.1,77.7,39.47,81.5,18.6,55.71,70.32,Good
309,91.81,58.67,51.03,59.02,91.43,36.1,66.82,67.29,Good
310,70.83,84.82,63.3,65.18,89.17,36.3,86.62,70.44,Good
311,77.56,44.41,71.89,81.98,63.85,16.8,55.32,66.59,Good
312,63.14,89.21,91.33,77.69,97.04,26.5,66.7,83.55,Very Good
313,61.01,70.12,71.16,81.07,56.22,37.4,76.95,71.37,Good
314,98.51,84.95,82.22,35.54,93.76,38.7,48.86,78.04,Very Good
315,93.44,64.88,97.62,49.15,98.55,22.8,49.43,75.21,Very Good
316,87.84,75.4,51.97,78.01,58.86,20.8,95.34,68.78,Good
317,76.36,68.95,59.56,66.46,86.1,14.8,80.65,66.29,Good
318,66.93,80.24,65.91,35.35,52.01,38.6,70.4,61.95,Acceptable
319,66.26,44.49,67.36,87.29,70.27,10.0,75.34,68.22,Good
320,70.01,43.32,66.78,85.23,75.81,25.3,32.05,66.83,Good
321,81.97,53.59,93.1,70.65,79.03,14.9,73.27,68.13,Good
322,88.58,48.77,82.84,39.32,96.8,14.8,65.67,71.39,Good
323,86.41,87.95,77.22,84.82,83.61,19.2,68.2,77.33,Very Good
324,71.2,52.06,61.4,72.94,74.06,40.0,55.16,66.23,Good
325,98.19,93.67,88.66,85.83,90.48,6.9,35.7,84.88,Very Good
326,89.52,58.53,95.62,83.86,97.53,25.2,43.53,79.07,Very Good
327,82.17,50.02,88.52,87.2,51.1,7.9,96.55,66.78,Good
328,84.47,83.43,45.08,68.67,99.13,10.4,58.61,64.83,Acceptable
329,76.78,76.23,78.73,44.12,54.31,20.4,62.67,64.59,Acceptable
330,69.91,67.4,47.71,78.63,90.72,22.9,33.69,67.35,Good
331,74.24,70.54,58.65,75.33,64.02,14.1,32.63,73.54,Good
332,90.31,79.56,48.15,83.25,56.61,16.1,80.2,65.77,Good
333,60.58,52.57,77.0,46.04,71.99,8.0,67.67,56.88,Acceptable
334,64.64,94.8,81.39,47.67,82.2,15.6,65.61,68.86,Good
335,61.84,93.61,51.07,92.88,69.05,38.8,47.02,75.4,Very Good
336,61.63,75.77,65.34,83.75,52.73,38.1,82.13,69.53,Good
337,94.22,50.97,69.18,94.03,79.97,16.7,41.78,76.42,Very Good
338,88.15,77.41,64.56,84.32,95.12,25.0,43.3,75.79,Very Good
339,78.97,43.97,51.41,73.82,69.16,36.8,62.25,60.63,Acceptable
340,63.91,41.69,67.2,77.52,60.82,5.2,50.04,55.39,Acceptable
341,79.66,54.17,84.81,92.79,72.13,33.4,47.32,70.55,Good
342,78.94,65.44,48.76,72.62,52.42,38.2,75.17,63.08,Acceptable
343,66.93,87.75,49.25,76.11,91.02,8.2,75.57,70.84,Good
344,77.35,79.99,63.8,45.17,91.32,10.7,87.72,65.87,Good
345,75.94,80.85,94.91,65.8,79.4,38.6,59.24,82.56,Very Good
346,84.63,63.4,80.43,81.57,67.66,23.8,35.12,76.4,Very Good
347,85.4,59.03,80.97,52.61,89.99,5.5,49.16,66.88,Good
348,61.81,60.41,64.18,48.15,77.73,14.0,98.6,56.96,Acceptable
349,74.98,94.32,76.46,55.4,91.3,20.7,71.74,73.53,Good
350,85.03,42.21,45.54,50.7,81.57,29.3,79.68,58.77,Acceptable
351,80.13,87.69,78.71,48.97,89.22,30.7,30.52,70.38,Good
352,94.26,71.83,93.4,62.62,79.93,39.8,66.27,76.72,Very Good
353,86.35,64.12,77.47,94.01,70.71,15.1,32.63,72.94,Good
354,66.52,79.89,91.31,67.96,97.9,23.8,69.85,78.78,Very Good
355,62.82,66.77,83.37,47.21,77.06,23.7,94.45,65.96,Good
356,85.7,88.04,51.39,40.0,80.25,19.2,97.79,66.02,Good
357,61.06,89.54,92.83,80.25,61.02,10.9,67.84,76.21,Very Good
358,83.43,63.19,48.52,59.88,81.28,39.2,62.07,64.03,Acceptable
359,97.61,55.23,73.3,88.42,78.58,34.9,96.15,83.5,Very Good
360,83.02,72.58,52.53,77.87,59.24,22.4,77.15,64.73,Acceptable
361,75.53,90.18,45.62,86.76,52.98,26.1,34.54,62.63,Acceptable
